name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
COMBINATION PLATTER,16.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
HUMMUS,6.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
KEFTA KEBAB,13.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CHICKEN KEBAB,12.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CHICKEN SHAWARMA PLATE,12.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
BEEF SHAWARMA PLATE,13.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
LAMB KEBAB,18.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
VEGETARIAN PLATTER,10.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
MIX SHAWARMA PLATE,14.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
KEFTA KEBAB WRAP,9.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CHICKEN KEBAB WRAP,8.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
BEEF SHAWARMA WRAP,9.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
LAMB KEBAB WRAP,11.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CHICKEN SHAWARMA WRAP,8.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
FALAFEL WRAP,8.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
MSAHAB WRAP,9.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
FOOLE,7.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
SHAWARMA AND HUMMUS,9.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
FATTOUSH,8.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CUCUMBER YOGURT SALAD,8.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
BABA GHANOUSH,7.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
MAZMEZ GARDEN SALAD,7.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CHICKEN SALAD,9.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
ORIENTAL SPICY DIP,6.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
LABANEH,6.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CABBAGE SALAD,7.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
MSABAHA,8.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
FALAFEL SALAD,8.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
LENTIL SOUP,5.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
STUFFED GRAPE LEAVES,5.49,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
FALAFEL,2.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
FRIES,3.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
BREAD,0.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
SAUCE,0.6,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
LEBAN YOGURT DRINK,1.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CARDAMOM COFFEE,2.2,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
CHAI,1.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
SODA CAN,1.29,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
GLASS BOTTLE,1.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
BOTTLED WATER,1.25,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
BAKLAVA,4.99,,MAZMEZ MIDDLE EASTERN GRILL,"UBEREATS, IL",,,,,,,
