name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BACON EGG CHEESE BISCUIT MEAL,6.49,770.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
SAUSAGE EGG MCMUFFIN MEAL,6.59,790.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
SAUSAGE EGG CHEESE MCGRIDDLE MEAL,6.59,870.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
STEAK EGG CHEESE BAGEL MEAL,7.69,950.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
BIG BREAKFAST WITH HOTCAKES,7.36,1340.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED COFFEE,2.19,180.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM FRENCH VANILLA LATTE,3.39,290.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MCCAFÉ CINNAMON ROLL,2.69,560.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
HASH BROWNS,1.49,150.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
SAUSAGE EGG BISCUIT MEAL,6.29,850.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
EGG MCMUFFIN MEAL,6.59,620.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
BACON EGG CHEESE MCGRIDDLE MEAL,6.69,740.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
2 SAUSAGE BURRITO MEAL,6.04,920.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
BACON EGG CHEESE BAGEL MEAL,7.09,870.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
BIG BREAKFAST,5.99,750.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
BIG BREAKFAST WITH BACON & HOTCAKES,6.39,1280.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
BIG BREAKFAST WITH STEAK AND HOTCAKES,8.09,1310.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
HOTCAKES AND SAUSAGE,4.89,780.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
HOTCAKES,3.69,590.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM PREMIUM ROAST COFFEE,1.97,0.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM DECAF COFFEE,1.97,0.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM COLOMBIAN MEDIUM ROAST,1.97,0.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM HOT TEA,1.7,0.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED CARAMEL COFFEE,2.19,190.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED HAZELNUT COFFEE,2.19,170.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED FRENCH VANILLA COFFEE,2.19,170.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED SUGAR FREE VANILLA COFFEE,2.19,110.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM PREMIUM HOT CHOCOLATE,3.59,450.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM CARAMEL HOT CHOCOLATE,3.59,420.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM MINUTE MAID STRAWBERRY WATERMELON SLUSHIE,2.0,240.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM BLUE RASPBERRY SLUSHIE MINUTE MAID,2.25,240.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM PINK LEMONADE SLUSHIE MINUTE MAID,2.25,250.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM MOCHA FRAPPÉ,3.59,510.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM CARAMEL FRAPPÉ,3.69,510.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM CARAMEL MACCHIATO,3.59,320.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED CARAMEL MACCHIATO,3.59,250.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM MOCHA,3.59,380.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM NONFAT MOCHA,3.29,310.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM CARAMEL MOCHA,3.39,330.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM NONFAT CARAMEL MOCHA,3.39,270.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED MOCHA,3.59,330.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
MEDIUM ICED NONFAT MOCHA,3.59,270.0,MCDONALD'S (HIGGINS & OAKTON),"UBEREATS, IL",,,,,,,
