name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
16 LARGE PIZZA,17.95,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
CAESAR SALAD,9.75,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
RICE BALLS (3 WITH A SIDE OF MARINARA),10.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
MOZZARELLA STICKS,10.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
CHICKEN PARMIGIANA,12.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
GRILLED CHICKEN,9.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
MAC AND CHEESE,9.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
CHEESE RAVIOLI,9.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
CHEESEBURGER,9.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
BUTTERED PENNE,9.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
PENNE MARINARA WITH A MEATBALL,9.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
ZEPPOLI,7.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
NEW YORK STYLE CHEESECAKE,7.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
TIRAMISU,7.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
CHOCOLATE MOUSSE,7.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
TARTUFO,7.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
GELATO,5.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
HOMEMADE CANNOLI,5.0,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
BOYLANS,3.25,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
SAN PELLEGRINO WATER (500 ML),3.5,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
SAN PELLEGRINO (1 LT),5.5,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
SAN PELLEGRINO ARRANCIATA SODA,2.95,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
20 OZ SPRITE,3.25,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
20 OZ COCA COLA,3.25,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
20 OZ DIET COCA COLA,3.25,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
20 OZ DASANI WATER,2.75,,PIZZAIOLO BY BROTHERS,"UBEREATS, MIDLAND PARK, NJ",,,,,,,
