name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN PICCATA,20.9,1030.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
FIVE CHEESE + FRESH TOMATO,16.5,190.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
GARLIC CREAM FETTUCCINE,16.5,1260.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
AVOCADO CLUB EGG ROLLS,14.85,1240.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
SICILIAN,19.79,220.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
AVOCADO SUPER GREEN PIZZA,18.7,190.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
SPICY HONEY BEE PIZZA,18.7,200.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
THE ORIGINAL BBQ CHICKEN PIZZA,18.7,190.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
PLANT-BASED BBQ CHICKEN PIZZA,19.79,180.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
THE WORKS,19.6,210.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
THAI CHICKEN,18.5,210.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
WILD MUSHROOM,18.5,170.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
HAWAIIAN,18.7,180.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
CARNE ASADA PIZZA,19.79,210.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
CALIFORNIA CLUB,19.79,220.0,CALIFORNIA PIZZA KITCHEN,"95-1249 MEHEULA PARKWAY, SUITE A-1, UBEREATS, MILILANI, HI",,,,,,,
