name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TUNA KALE SALAD,17.6,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
BERRY ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
SALMON & CROUTON SALAD,17.6,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
STRAWBERRY BLAST,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
RENEWAL,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
QUINOA BOWL,17.6,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ACAI BERRY SMOOTHIE,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
DRAGON SMOOTHIE,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
COCONUT SMOOTHIE,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
NUTTY BLAST,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ACAI POWER,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
DRAGON POWER,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
GREEN POWER,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
POM POWER,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ALMOND CHOCOLATE PROTEIN,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
BERRY BUTTER PROTEIN,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PARADISE PROTEIN,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
GREEN PROTEIN,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
VANILLA PROTEIN,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
BLUEBLISS,7.45,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
SUNSET,7.45,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PARADISE,7.45,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PEACHY,7.45,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
SUNSHINE,7.45,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
DRAGON BOWL,14.3,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CHIA COCONUT ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
BUTTER ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
TROPICAL ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CHOCOLATE ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
GREEN BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
POWER ACAI BOWL,14.3,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
AVOCADO ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
APPLE PIE ACAI BOWL,13.2,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
GRENERGY,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CARROT GLOW,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
POWER BEET,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
GREEN SPARK,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CELERY TOX,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CITRUS SPARKLE,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
RAW COCONUT,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
SUNRISE,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ALMOND MILK,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PURE ORGANIC APPLE,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PURE ORGANIC CARROT,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PURE ORGANIC CELERY,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PURE ORGANIC ORANGE JUICE,11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ORGANIC POMEGRANATE,9.9,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ORGANIC WHOLE LEMON (WITH PEELS),11.0,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CHIA FLAX ENERGY BITES,9.1,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CHOCOLATE ENERGY BITES,9.1,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
COCONUT ENERGY BITES,9.1,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
BOOST - 1 DAY JUICE CLEANSE,56.45,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
REFRESH - 2 DAY JUICE CLEANSE,106.95,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
CLEANSE - 3 DAY JUICE CLEANSE,160.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
DETOX - 5 DAY JUICE CLEANSE,261.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
IMMUNITY,12.1,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
IRON BOOST,12.1,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
ELECTROLYTE,4.95,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
HYDRATION,6.05,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
GINGERALE,4.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
METABOLIC,4.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PROBIOTIC,4.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
PURE GINGER,4.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
E3LIVE,4.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
WHEATGRASS,4.4,,RISE JUICERY,"UBEREATS, MONSEY, NY",,,,,,,
