name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LASAGNA (HOUSE FAVORITE),17.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
SPAGHETTI CARBONARA,18.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
ARANCINI,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
FETTUCCINI ALFREDO,16.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
TOASTED RAVIOLI,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
FRIED CALAMARI,13.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
GRILLED CALAMARI,13.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
SWEET & SPICY CALAMARI,14.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
BAKED CLAMS,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
MUSSELS MARINARA,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
BRUSCHETTA,9.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
STUFFED ARTICHOKE,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
ASSORTED ITALIAN ANTIPASTO,13.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
PIZZA BREAD OR CHEESY GARLIC BREAD,5.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
MOZZARELLA STICKS,7.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
BREADED MUSHROOMS,6.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
OYSTERS ON THE HALF SHELL,9.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
OYSTERS ROCKEFELLER,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
SHRIMP COCKTAIL,8.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
SHRIMP DE JONGHE,9.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
SAUSAGE & PEPPERS,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
INSALATA CAPRESE,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
SPECIAL SALAD,11.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
AVOCADO SALAD,10.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
MINESTRONE SOUP (CUP),3.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
CHICKEN NOODLE SOUP (CUP),3.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
DINNER SALAD,4.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
CAESAR SALAD ... 2 SIZES,5.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
ROASTED BEET SALAD,11.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
ERNIE & PATS SALAD,12.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
MANICOTTI FELLINI,17.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
RIGATONI FELLINI,17.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
BAKED RIGATONI,16.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
JOES RIGATONI,18.95,,FELLINI RESTAURANT AND PIZZERIA,"UBEREATS, MOUNT PROSPECT, IL",,,,,,,
