name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
"ORIGINAL CLASSIC (BREAKFAST MEAT, EGG & CHEESE)",6.09,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
EGG AND CHEESE,4.59,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
CLASSIC CROISSANT,6.49,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
PHILLY STEAK EGG AND CHEESE,6.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
BAGEL WITH CREAM CHEESE,3.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
HALF DOZEN BAGELS,6.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
DOZEN BAGELS,12.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
BAGEL WITH BUTTER,2.59,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
BAGEL WITH FLAVORED CREAM CHEESE,3.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
BAGEL WITH LOX SPREAD,4.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
SLICED NOVA LOX AND CREAM CHEESE,11.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
MUFFIN,2.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
COOKIES,3.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
FRESH FRUIT CUP,4.99,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
YOGURT PARFAIT WITH GRANOLA AND BERRIES,3.49,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
PLAIN CREAM CHEESE (TUB),4.29,,MANHATTAN BAGEL (1205 TILTON RD),"UBEREATS, NORTHFIELD, NJ",,,,,,,
