name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GEMELLI PASTA,16.5,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
OVEN ROASTED MEATBALLS,13.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SPAGHETTI,16.5,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
BURRATA,13.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
PARMIGIANA,20.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
GAMBAS,14.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
BRUSSEL SPROUTS,9.5,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SAILOR'S MUSSELS,14.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
BRUSCHETTA,8.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SALMON SKEWERS,11.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SPINACH SALAD,9.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
CAESAR SALAD,7.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SALMON LINGUINE PASTA,19.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
PENNE PASTA,16.5,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
GNOCCHI PASTA,16.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SEAFOOD LINGUINE PASTA,19.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
BISTRO RAVIOLI PASTA,16.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
SALMON NICOISE,18.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
PICCATA,20.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
FISHERMAN'S STEW,24.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
STRAWS (IF AVAILABLE),0.0,,FILIPPO'S,"UBEREATS, OAKLAND, CA",,,,,,,
