name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
GINGER MISO BOWL,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
ACAI BOWL,11.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
HOMEGROWN STREET BOWL,10.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
PEANUT BUTTER MATCHA ACAI,13.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
SMOKED SALMON BOWL,13.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
PESTO CHICKEN,10.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
HIERLOOM TOMATO & MOZZARELLA,8.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
SPICY BUFFALO CHICKEN,10.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
GRILLED CHICKEN AVOCADO,10.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
BALANCE BOWL,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
RANCHERO BOWL,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
MEDITERRANEAN BOWL,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
CRACKIN KALE SALAD,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
FARMERS HARVEST SALAD,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
MEDITERRANEAN WRAP,10.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
MEXI CALI WRAP,10.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
DAILY GREENS,8.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
TROPICAL,7.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
PEANUT BUTTER CUP,8.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
GREEN ENERGIZER,8.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
DAILY DETOX,4.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
GOLDEN TONIC,4.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
CHA CHA CHIA PUDDING,7.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
SWEET CORN ELOTE,5.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
AHI POKI BOWL,12.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
EXTRA CHICKEN,3.0,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
EXTRA SOFT EGGS,1.5,,HOMEGROWN OAKLAND,"UBEREATS, OAKLAND, CA",,,,,,,
