name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
LARGE CREATE YOUR OWN,18.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
PERSONAL PAN CREATE YOUR OWN PIZZA,10.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
TWO LARGE ONE TOPPING PIZZAS AND BREADSTICKS,24.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
MEDIUM CREATE YOUR OWN,20.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
$17 DINNER BOX,20.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
STUFFED GARLIC KNOTS (10 PCS),9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
BREADSTICKS (5 PCS),9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
CHEESE STICKS (5 PCS),9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
BAKERY STYLE BREADSTICKS,15.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
CHEESE BREAD,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
GARLIC BREAD,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
QUEPAPAS,8.5,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
STRAIGHT CUT FRIES,5.5,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
FRIED MOZZARELLA STICKS,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
STUFFED PIZZA ROLLERS,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
MEATY P'ZONE PIZZA,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
PEPPERONI P'ZONE PIZZA,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
SUPREMO P'ZONE PIZZA,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
CHEEZ IT PEPPERONI,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
CHEEZ IT,9.99,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
BREADED BONE-OUT WINGS,12.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
LARGER TRADITIONAL BONE-IN WINGS,20.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
PERSONAL PAN SUPREME PIZZA,10.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
PERSONAL PAN MEAT LOVER’S PIZZA,10.0,,PIZZA HUT,"388 RAMAPO VALLEY RD, UBEREATS, OAKLAND, NJ",,,,,,,
