name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BANG BANG SHRIMP,12.0,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
ATLANTIC SALMON- REGULAR,23.0,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
BANG BANG SHRIMP TACOS,16.4,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
FILET MIGNON,26.3,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
HALF-POUND BFG BURGER,16.4,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
WAGYU BEEF & GINGER POTSTICKERS,10.5,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
AHI TUNA SASHIMI- REGULAR,14.2,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
AHI TUNA SASHIMI-LARGE,21.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
IMPERIAL DIP,10.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
CALAMARI,12.7,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
MARYLAND CRAB CAKES,16.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
SAUCY SHRIMP,11.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
MUSSELS JOSEPHINE,13.8,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
ENTRÉE LARGE HOUSE SALAD,9.6,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
ENTRÉE LARGE CAESAR SALAD,9.6,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
NEW! FLORIDA COBB SALAD,10.3,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
CORN CHOWER & LUMP CRAB- CUP,5.4,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
CORN CHOWER & LUMP CRAB- BOWL,6.5,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
ATLANTIC SALMON- SMALL,20.6,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
RAINBOW TROUT,21.0,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
AHI TUNA STEAK,21.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
CHILEAN SEA BASS,37.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
CHILEAN SEA BASS – SMALL,33.9,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
MAHI-MAHI,21.3,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
COD IMPERIAL,24.1,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
PECAN PARMESAN-CRUSTED RAINBOW TROUT,23.5,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
CRAB-CRUSTED COD,25.2,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
BLACKENED BAJA FISH TACOS,16.4,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
FISH & CHIPS,17.5,,7054-BONEFISH GRILL,"12301 LAKE UNDERHILL RD, UBEREATS, ORLANDO, FL",,,,,,,
