name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CARNE ASADA,25.88,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
FAJITAS,21.27,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
GRANDE COMBINATION 2,14.95,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
TACOS AUTENTICOS,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
BURRITO BLANCO,16.67,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CEVICHE,15.52,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
NACHOS AZTECA,12.65,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN TAQUITOS,15.58,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MANGO CEVICHE,15.52,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
COCONUT SHRIMP,16.67,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
QUESADILLA,12.65,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MOJO DE AJO,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
AZTECA QUESO DIP,9.49,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ELOTES MEXICANOS,9.49,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
SOPA AZTECA (TORTILLA SOUP),7.19,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
AZTECA DIABLO SHRIMP AND TEQUILA CHOWDER,9.77,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
SOPA DE POLLO (CHICKEN SOUP),9.77,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
LA BANDERA ENSALADA,15.52,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN CAESAR SALAD,15.52,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
DELUXE TACO SALAD,12.64,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CAMARONES MONTEREY,26.45,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CALDO 7 MARES,33.64,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
PEZCADO FRITO (RED SNAPPER),33.64,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MOLCAJETE D' MAR,37.38,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
PARRILLADA,32.49,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MOLCAJETE AZTECA,32.49,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
BORREGO (LAMB SHANK),22.42,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
PLATO MEXICANO,27.6,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
PLATO FIESTA,34.98,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ARROZ CON MARISCOS,25.01,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MARISCOS MOJO DE AJO,25.01,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CAMPECHANA,20.13,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CAMARONES BLANCOS,25.01,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CAMARONES MEXICANOS,28.75,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
COCTEL DE CAMARONES,20.13,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CAMARONES A LA DIABLA,25.01,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ENCHILADAS VERDES,14.95,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ENCHILADAS EN MOLE,17.19,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ENCHILADAS A LA CREMA,17.19,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ENCHILADAS RANCHERA,14.95,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
JALISCO STYLE ENCHILADA,14.95,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CARNE ASADA Y MOJO,27.02,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
STEAK MEXICANO,22.14,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
FAJITA SAMPLER,26.16,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
FAJITA QUESADILLA,17.83,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MILANESE DE POLLO,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
POLLO A LA CREMA,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN CARNITAS,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
ARROZ CON POLLO,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
POLLO FUNDIDO,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
POLLO MEXICANO,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN TAQUITO COMBO,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
POLLO ASADO AL CARBON,20.41,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
TACOS AL PASTOR,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
TACOS AL CARBON,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CARNITAS TACOS,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CHORIZO TACOS,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
FISH TACOS,20.13,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
SHRIMP TACOS,21.56,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
FLAUTAS,18.4,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
FAJITA BURRITO,19.55,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CARNITAS BURRITO,18.98,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
MACHO BURRITO,16.67,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CARNE ASADA BURRITO,23.86,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
POCO COMBINATION 1,10.93,,AZTECA D'ORO,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
