name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PHAD THAI,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
THAI TEA,3.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PANANG CURRY,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
DRUNKEN NOODLE,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PINEAPPLE FRIED RICE,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
GRILL WINGS(4),9.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
GRILL HALF CHICKEN,8.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
VEG SPRING ROLLS(3),3.95,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
POT STICKERS(4),5.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
FRIED CALAMARI,5.95,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
QUAIL EGGS,5.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
FRIED TOFU,4.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
COCONUT SHRIMP(5),6.25,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
BUTTER EDAMAME,4.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
THAI SAUSAGE,5.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SOFT SHELL CRAB(2),10.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
TOM YUM SOUP,3.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
COCONUT SOUP,3.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
TOM ZAB PORK,4.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
TOFU SOUP,4.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
LARB,7.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
THAI FRIED RICE,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
BAAN CHAN RAMEN,12.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
KRA-PRAW,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
GINGER,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PHAD SEE U,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHILI JAM,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
VEGETABLE MEDLEY,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
GREEN CURRY,9.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
JASMINE WHITE RICE,1.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
JASMINE RICEBERRY,2.25,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
STEAMED RICE NOODLE,2.25,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
STICKY RICE,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
EXTRA PROTEIN,3.25,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
BOWL OF STEAMED VEG,3.25,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
THAI COFFEE,3.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
THAI GREEN MILK TEA,3.75,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
BOTTLE WATER(FIJI),3.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
COCONUT WATER,3.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
ARIZONA GREEN TEA,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PEPSI,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
DIET PEPSI,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SPRITE,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SUNKIST,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PERRIER,2.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CAPICO WATER,3.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHA MA-NOW,3.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
RED LIME SODA,3.5,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
THAI DONUT,4.25,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
MANGO WITH STICKY RICE,7.0,,BAANCHAN THAI RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
