name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE BARCLAYS,14.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
PROSPECT PARK,11.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
FLATBUSH,12.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
BUSHWICK,12.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
RED HOOK,12.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
THE L TRAIN,11.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
CONEY ISLAND,13.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
ROCKAWAY,11.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
FORT GREENE,13.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
BROOKLYN BRIDGE,13.95,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
COKE (CAN),2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
DIET COKE (CAN),2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
SPRITE (CAN),2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
PEPSI (CAN),2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
DIET PEPSI (CAN),2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
GINGER ALE (CAN),2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
LEMONADE,2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
ICED TEA,2.0,,BROOKLYN CALZONES,"UBEREATS, ORLANDO, FL",,,,,,,
