name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
QUESADILLA DELUXE,9.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
ARROZ CON POLLO,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
BURRITO JALISCO,10.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
1/2 CHIMICHANGA,10.25,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
1/2 ORDER FAJITAS,10.99,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPEEDY GONZALEZ,8.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
LUNCH SPECIAL 1,8.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 2,8.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 3,8.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 4,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 5,8.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 6,8.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 7,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SPECIAL LUNCH 8,10.25,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
HUEVOS RANCHEROS,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
HUEVOS CON CHORIZO,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
HUEVOS A LA MEXICANA,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
ARROZ CON CAMARONES,11.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
FAJITA BURRITO,10.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
TACO SALAD,9.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
FAJITA TACO SALAD,10.5,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
NACHITOS,8.99,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
TILAPIA,10.25,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
LUNCH ENCHILADA SUPREME,9.99,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
TWO TAQUITOS,9.25,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
SINCRONZADA,11.88,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
FISH TACOS,10.25,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
QUESADILLA FAJITA,12.49,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
POLLO TAPATIO,10.75,,HABANEROS MEXICAN GRILL,"UBEREATS, ORLANDO, FL",,,,,,,
