name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HOGZILLA,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
KICKING CHICKEN BAO,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
FIRECRACKER SHRIMP BAO,3.75,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
THE CUBAN SPECIAL,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
GLEN RHEE BAO,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
VEGANVILLE BAO,3.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
THE INNER HARBOR BAO,3.75,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
OMG “OH MY GROUPER” BAO,3.75,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
MR. POTATO HEAD BAO,3.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
COCO LOCO,3.75,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN KATSU CURRY,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
HOT CHICKEN,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
SOFT SHELL CRAB,5.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
LOBSTER ROLL,6.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
ELOTE BAO,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
BAJA AVOCADO,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
HOISIN BBQ RIB,3.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
TRUFFLE TOTS,3.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
PORKY’S TATCHOS,3.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
FIRE TOTS,2.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
FAKE NIT TATER,2.5,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
KIMCHI TOTS,3.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
TARZAN,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
WATER,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
COKE,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
DIET COKE,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
SPRITE,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
FANTA ORANGE,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
SWEET TEA,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
UNSWEET TEA,2.0,,KING BAO,"WATERFORD, UBEREATS, ORLANDO, FL",,,,,,,
