name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SAMPLER PLATTER,18.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHIMI RETRO-BEEF CHIMI,8.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
YAROA DE POLLO- CHICKEN YAORA,10.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PECHUGA A LA PARILLA,15.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHURRASCO,22.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
GARLIC CASSAVA (YUCA DE AJO),6.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
TOSTONES LOCOS ( CRAZY FRIED PLANTAIN),10.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
MOFONGUITOS TRIO,16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
EMPANADA DE YUCA (CATIBIA),4.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN STEW SOUP (ASOPAO DE POLLO),16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SHRIMP STEW SOUP (ASOPAO DE CAMARONES),16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SHRIMP (MOFONGO CAMARONES),17.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
FRIED PORK (MOFONGO CARNE FRITA),16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN BREAST (MOFONGO PECHUGA ALA PLANCHA),16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
OUTSIDE SKIRT STEAK (MOFONGO CHURRASCO),23.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
BREADED CHICKEN BREAST (MOFONGO PECHURINA),15.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHIMI DE POLLO- CHICKEN CHIMI,8.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHIMI DE CERDO- PORK CHIMI,9.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHIMI '' EL PEPE,10.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
YAROA DE PERNIL- ROASTED PORK YAROA,10.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
YAROA MIXTA- MIXED YAROA,12.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHICHARRON DE POLLO (SIN HUESO) - FRIED CHICKEN RINDS ( NO BONE),15.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHICHARRON DE POLLO (CON HUESO) - FRIED CHICKEN RINDS ( WITH BONE),15.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
LONGANIZA - DOMINICAN SAUSAGE,13.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CARNE FRITA DE PUERCO - FRIED PORK,15.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SALAMI,10.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
FRIED CHEESE- QUESO FRITO,10.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHULETA DE CERDO,15.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CARNE FRITA DE CERDO,16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PECHURINA,16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PECHUGA SALTEADA,16.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PICAHNA STEAK,18.5,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CAMARONES EN SALSA,17.5,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PERRITO CALIENTE,7.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
CHICKEN NUGGETS,7.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
TRES LECHE GUAVA,6.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
NATURAL JUICES- JUGOS NATURALES,3.5,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
SODA,2.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
BOTTLE OF WATER,1.5,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PIÑA COLADA,7.5,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
TOSTONES / FRIED GREEN PLANTAINS,4.5,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
YUCA FRITA/FRIED CASSAVA,5.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
PLATANOS MADUROS/SWEET PLANTAINS,6.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
VEGETALES MIXTO/MIX VEGETABLE,6.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
RICE AND BEANS,5.0,,THE CHIMI SPOT RESTAURANT,"UBEREATS, ORLANDO, FL",,,,,,,
