name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
3 TACOS,13.8,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
2 TACOS,9.77,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
BURRITO,11.21,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
CHIPS AND QUESO,5.46,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
RICE BOWL,11.21,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
OTH AHI TUNA,13.8,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
SOLO TACO,4.89,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
SALAD,11.21,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
IN-THE-BAG,10.06,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
TUNA NACHOS,16.1,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
TIN NACHOS,11.49,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
KIDS 2 TACO,8.04,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
EXTRA MEAT,2.3,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
SIDE TORTILLA,0.57,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
JUST CHIPS,1.15,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
SIDE OF RICE,1.14,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
BLACK BEAN AND CORN QUINOA (5 OZ),5.28,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
DORITOS,1.73,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
SALSA AND CHIPS,2.3,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
CHIPS AND GUAC,6.61,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
CHIPS +QUESO+SALSA+GUAC,11.49,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
EXTRA SAUCE,0.57,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
2OZ QUESO,2.29,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
CRAFT SODA 16.9 OZ.,3.23,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
BOTTLED WATER,2.88,,TIN & TACO,"ALAFAYA TRAIL, UBEREATS, ORLANDO, FL",,,,,,,
