name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HOT CINNAMON APPLE PIES (COPY),3.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CHEESE STICKS,5.39,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
BREADSTICKS,4.39,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
LARGER TRADITIONAL WINGS BONE-IN,7.79,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
THE ULTIMATE HERSEY'S CHOCOLATE CHIP COOKIE,5.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
STRAIGHT CUT FRIES,2.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
QUEPAPAS,4.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
WINGS BONE-OUT,6.5,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
HERSHEY'S TRIPLE CHOCOLATE BROWNIE,5.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
CINNAMON STICKS,3.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
HOT CINNAMON APPLE PIES,3.99,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
AQUAFINA,1.49,,WING STREET,"UNIVERSITY, UBEREATS, ORLANDO, FL",,,,,,,
