name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TROPICHOP FOR 10 PEOPLE,65.87,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
CLASSIC POLLO FOR 10 PEOPLE,59.99,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
1/4 FIRE GRILLED CHICKEN - ENTRÉE ONLY,5.27,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
1/4 FIRE GRILLED CHICKEN - WITH 1 SIDE,6.59,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
1/4 FIRE GRILLED CHICKEN - WITH 2 SIDES,7.55,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
1/2 FIRE GRILLED CHICKEN - ENTRÉE ONLY,7.79,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
1/2 FIRE GRILLED CHICKEN - WITH 1 SIDE,9.1,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
1/2 FIRE GRILLED CHICKEN - WITH 2 SIDES,10.31,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
BONELESS CHICKEN BREAST - ENTRÉE ONLY,3.95,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
BONELESS CHICKEN BREASTS - WITH 1 SIDE,9.1,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
BONELESS CHICKEN BREASTS - WITH 2 SIDES,9.95,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
MOJO ROAST PORK - ENTRÉE ONLY,7.19,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
MOJO ROAST PORK - WITH 1 SIDE,8.63,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
MOJO ROAST PORK - WITH 2 SIDES,9.59,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
WHOLE CHICKEN ONLY,13.19,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
POLLO TRIO,11.99,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
POLLO & PORK TRIO,11.99,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
MANGO HABANERO BBQ POLLO + PORK DUO PLATTER - WITH 1 SIDE,8.99,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
MANGO HABANERO BBQ POLLO + PORK DUO PLATTER - WITH 2 SIDES,10.18,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
REGULAR TROPICHOP,6.95,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
LARGE TROPICHOP,9.59,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
POLLO & PORK DUO TROPICHOP - CRISPY,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
POLLO & PORK DUO TROPICHOP - GRILLED,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
CAESAR WRAP,4.91,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
CAESAR WRAP COMBO,7.91,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
QUESADILLA WRAP,5.15,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
QUESADILLA WRAP COMBO,8.14,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
VEGAN WRAP,5.75,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
VEGAN WRAP COMBO,8.75,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
THE CRISPY CHICKEN CUBAN,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
THE CRISPY CHICKEN CUBAN COMBO,11.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
THE GRILLED CHICKEN CUBAN,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
THE GRILLED CHICKEN CUBAN COMBO,11.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
ORIGINAL CUBAN,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
ORIGINAL CUBAN COMBO,11.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
EL CLASICO SANDWICH,7.19,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
EL CLASICO SANDWICH COMBO,10.18,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
SPICY CRISPY CHICKEN SANDWICH,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
SPICY CRISPY CHICKEN COMBO,11.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
SPICY GRILLED CHICKEN SANDWICH,8.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
SPICY GRILLED CHICKEN COMBO,11.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
ORIGINAL FAMILY MEAL,17.39,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
WHOLE CHICKEN WITH 4 ROLLS,15.71,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
WHOLE CHICKEN WITH 1 SIDE,17.99,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
WHOLE CHICKEN WITH 2 SIDES,21.59,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
WHOLE CHICKEN WITH 3 SIDES,23.99,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
POLLO AND PORK FAMILY MEAL,25.19,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
CHICKEN CAESAR SALAD,8.63,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
CHICKEN QUESADILLA SALAD,8.51,,POLLO TROPICAL,"8301 RED BUG LAKE RD, UBEREATS, OVIEDO, FL",,,,,,,
