name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHIPS AND QUESO,3.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
CHIPS AND SALSA,3.45,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
TACO DE CARNITAS,3.25,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
SHRIMP TACOS (3PCS),9.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
QUESADILLA DE POLLO O ASADA,6.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
BLACKENED TILAPIA FILET,10.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
CAMARONES A LA MEXICANA,11.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
HAWAIANA,7.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
HUEVO CON CHORIZO,7.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
TORTA DE CARNITAS,7.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
PASTOR,7.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
TORTA DE CARNE ASADA,7.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
PAMBAZO,7.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
BLACKENED CHICKEN TORTA,7.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
TORTA R&R ESPECIAL,8.5,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
TORTA DE STREAK CHILAQUILES,8.0,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
TORTA CUBANA,9.5,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
QUESADILLA DE POLLO Y ASADA,7.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
QUESADILLA DE CAMARON,7.99,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
BEANS AND RICE,3.5,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
BEANS,2.5,,R&R TAQUERIA (HONEYGO),"UBEREATS, PERRY HALL, MD",,,,,,,
