name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
EGG,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
EGG AND CHEESE,3.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SAUSAGE EGG AND CHEESE,4.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BACON EGG AND CHEESE,4.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PANCAKES BACON EGG AND CHEESE,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HOME FRIES BACON EGG AND CHEESE,6.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HOME FRIES SAUSAGE EGG AND CHEESE,6.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRENCH TOAST SAUSAGE EGG AND CHEESE,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HONEY TURKEY SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SMOKED TURKEY SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
OVEN ROASTED TURKEY SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TURKEY HAM SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ROAST BEEF SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CORNED BEEF SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TUNA SALAD SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN SALAD SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SEAFOOD SALAD SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUFFALO CHICKEN SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SALAMI SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BEEF BOLOGNA SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAM AND CHEESE SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
LIVERWURST SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ITALIAN SANDWICH,3.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BLT,3.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PLAIN STEAK,3.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESESTEAK,4.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESESTEAK HOAGIE,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN CHEESESTEAK,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PEPPER CHEESESTEAK,4.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BACON CHEESESTEAK,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESESTEAK AND EGG,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAMBURGER,2.25,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE BURGER,2.75,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BACON CHEESE BURGER,3.75,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HONEY TURKEY,5.99,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SMOKED TURKEY,5.99,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TURKEY HAM,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TURKEY BREAST,5.99,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAM,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUFFALO CHICKEN,7.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HONEY BBQ CHICKEN,7.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
COOKED SALAMI,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HARD SALAMI,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PROVOLONE CHEESE,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TURKEY BACON,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BEEF BACON,7.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PORK BACON,7.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ROAST BEEF,7.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CORNED BEEF,7.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
LIVERWURST,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
COOPER SHARP CHEESE,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SWISS CHEESE,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
AMERICAN CHEESE,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRENCH FRIES,1.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE FRIES,2.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ONION RINGS,1.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN FINGERS,4.99,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN WINGS,7.25,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN NUGGETS,2.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MOZZARELLA STICKS,3.99,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PIZZA ROLLS,1.25,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FISH SANDWICH,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSHROOM CHEESESTEAK,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSHROOM CHICKEN CHEESESTEAK,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
DOUBLE CHEESESTEAK,7.5,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TURKEY CHEESE BURGER,4.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP BASKET,4.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WING DINGS,6.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP PLATTER,5.0,,8 BROTHERS MEAT MARKET & DELI,"UBEREATS, PHILADELPHIA, PA",,,,,,,
