name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN (PLAIN OR JERK) ALFREDO,15.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP ALFREDO (8 PIECES),18.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SALMON WITH 2 SIDES,26.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSSELS & SHRIMP,18.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WHITING FISH WITH TWO SIDES,16.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED SHRIMP,13.5,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
JERK WINGS,12.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED WINGS,9.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUFFALO WINGS,10.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BBQ WINGS,10.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SWEET AND SPICY WINGS,10.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN QUESADILLA,10.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP QUESADILLA,12.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
JERK CHICKEN WITH TWO SIDES,15.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
OXTAIL WITH TWO SIDES,22.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP,18.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
JERK SALMON SALAD,18.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FISH & FRIES,13.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SALMON ALFREDO,23.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
RICE & BEANS,5.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CABBAGE,5.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BROCCOLI,5.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CANDID YAMS,5.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BAKED MACARONI AND CHEESE,5.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRENCH FRIES,5.0,,BANANA'S 876 BAR AND LOUNGE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
