name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
HASH BROWNS,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRITS,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HOME FRIES,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAM,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BACON,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SAUSAGE,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 EGGS,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRENCH FRIES,3.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ONIONS FRIES,3.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE FRIES,5.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CURLY FRIES,3.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PIZZA FRIES,5.25,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MOZZARELLA FRIES,4.75,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
POTATO WEDGES,4.1,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
POTATO SKINS WITH CHEESE,5.75,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
POTATO SKINS WITH BACON AND CHEESE,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
POTATO SKINS WITH BROCCOLI AND CHEESE,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GARLIC BREAD,1.8,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE GARLIC BREAD,2.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
LARGE COLESLAW,3.0,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MOZZARELLA STICKS,5.75,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MEGA FRIES,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CRAB FRENCH FRIES,3.75,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MINI TACOS,5.75,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MEGA ONION FRIES,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PIZZA ROLLS,3.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BROCCOLI BITES,6.0,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE CRAB FRENCH FRIES,4.75,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
POPCORN CHICKEN,5.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
JALAPENOS POPPERS,5.05,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP ROLL,3.45,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TOSSED SALAD,4.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAESAR SALAD,4.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TURKEY AND CHEESE,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAM AND CHEESE,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEF'S SALAD,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TUNA SALAD,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED SHRIMP SALAD,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED SHRIMP SALAD,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED SHRIMP CAESAR SALAD,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED SHRIMP CAESAR SALAD,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ITALIAN SALAD,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHICKEN SALAD,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHICKEN CAESAR SALAD,6.5,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUFFALO GRILLED CHICKEN SALAD,6.95,,DIAMANTE PIZZERIA & SEAFOOD HOUSE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
