name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRESH BUFFALO WINGS,11.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESESTEAK (7 OZ),7.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
"1 LARGE PIZZA, 1 CHEESESTEAK, FRENCH FRIES, AND 12 BUFFALO WINGS",27.0,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAND TOSSED PEPPERONI PIZZA,8.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GALAXY SPECIAL PIZZA,9.25,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
2 LARGE PLAIN PIZZAS,15.8,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
2 CHEESESTEAKS WITH FRENCH FRIES,17.65,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
2 CHICKEN CHEESESTEAKS WITH FRENCH FRIES,17.65,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
LARGE PIZZAS AND 12 BUFFALO WINGS,18.65,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
"SMALL PIZZA, CHEESESTEAK AND FRENCH FRIES",15.8,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FAMILY SPECIAL,27.0,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE 3 EGG OMELETTE,7.0,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BACON 3 EGG OMELETTE,7.75,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSHROOM 3 EGG OMELETTE,7.75,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
VEGGIE 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SALAMI 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PORK ROLL 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BROCCOLI 3 EGG OMELETTE,7.75,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SAUSAGE 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CANADIAN BACON 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FETA CHEESE 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WESTERN 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPANISH 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GREEK 3 EGG OMELETTE,7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BREAKFAST COMBO,8.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 PANCAKES,4.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 PANCAKES WITH MEAT,6.25,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 PANCAKES WITH 3 EGGS AND MEAT,7.25,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 PANCAKES WITH EGG AND CHEESE,5.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
"3 PANCAKES WITH CHEESE, EGG, AND MEAT",7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 FRENCH TOAST,4.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 FRENCH TOAST WITH MEAT,6.25,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 FRENCH TOAST WITH 3 EGGS AND MEAT,7.25,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
3 FRENCH TOAST WITH EGG AND CHEESE,5.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
"3 FRENCH TOAST WITH CHEESE, EGG AND MEAT",7.95,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PANCAKE WITH BLUEBERRIES,5.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PANCAKE WITH CHOCOLATE CHIPS,5.5,,GALAXY PIZZA,"UBEREATS, PHILADELPHIA, PA",,,,,,,
