name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BARBECUE PORK,10.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
KHINKALI,9.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BARBECUE CHICKEN,8.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SUP-KHARCHO,8.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MEGRULI,12.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
LULA KEBAB BEEF & PORK,11.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHAKAPULI,9.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
OSTRI,8.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BEAN,6.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSHROOM &CHEESE,8.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHKMERULI,8.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SACIVI,8.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN TABAKA,8.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TOLMA,8.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED POTATOES,6.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
OJAKHURI,10.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSHROOM,8.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
IMERULI,10.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ADJARULI,13.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
LOBIANI,8.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BREAD,3.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUJUJI SALAD,6.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
EGGPLANT SALAD WITH WALNUTS,7.99,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BEANS SALAD WITH WALNUTS,7.99,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPINACH SALAD WITH WALNUTS,7.99,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BEETS SALAD WITH WALNUTS,7.99,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
OLIVE SALAD,7.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN SALAD,7.99,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
REGULAR SALAD,5.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ASSORTED PICKLED VEGETABLES AND JONJOLI.,6.99,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE ASSORTED,11.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ZANDUKELI,2.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
NATAKHTARI,2.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
NABEGLAVI,1.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BAKHMARO,1.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BORJOMI,2.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
KOMPOT,4.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
KHILIANI,1.5,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAKES IDIALI,8.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAKES QADA,5.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAKES FAGLAVA,6.0,,GEORGIAN BREAD & CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
