name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DRUNKEN NOODLE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SWEET STICKY RICE WITH MANGO,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PAD THAI,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
THAI DUMPLING,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP GOLDEN,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PANAENG CURRY,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GREEN CURRY,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
RED CURRY,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MASSAMAN CURRY,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PAD PUG,11.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PAD TOU HU,11.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PAD MA KHUER,11.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TOFU SPECIAL,12.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TOFU DELIGHT,12.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GARLIC SAUCE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GINGER SAUCE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BASIL SAUCE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SWEET AND SOUR SAUCE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HONEY DUCK,23.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HOUSE SPECIAL DUCK,23.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GARLIC DUCK,23.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CURRY DUCK,23.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HOUSE OF THAI DELIGHT,15.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SIAM CHICKEN,15.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPECIAL BASIL DUMPLING,15.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPICY EGGPLANT,15.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PANANG FRIED RICE,16.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
YELLOW CURRY FRIED RICE,15.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MANGO CURRY,16.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SILVER NOODLE,15.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BROKEN SEA,20.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TILAPIA,16.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SALMON PANANG CURRY,18.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
STEAMED RICE,2.0,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
STEAMED BROWN RICE,2.0,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
STEAMED STICKY RICE,2.0,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SWEET STICKY RICE,2.0,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PEANUT SAUCE,1.0,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
THAI ICED TEA,3.75,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
THAI ICED COFFEE,3.75,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
COKE,1.25,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPRITE,1.25,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
DIET COKE,1.25,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GINGER ALE,1.25,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPRING ROLL,4.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
VEGETABLE DUMPLING,6.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CURRY PUFF,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GOLDEN BAG,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SATAY,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED CALAMARI,10.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED TOFU,4.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MOO DAD DEAW,7.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP LEMONGRASS SOUP,5.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN COCONUT SOUP,5.25,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
VEGETABLE SOUP,4.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SIAM SOUP,4.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPICY SEAFOOD SOUP,9.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
THAI SALAD,4.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MANGO SALAD,8.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PAPAYA SALAD,8.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP SALAD,10.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BEEF SALAD,9.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
DUCK SALAD,10.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SEAFOOD SALAD,11.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TILAPIA SALAD,10.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PAD-SEE-EW,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
THAI FRIED RICE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPICY BASIL FRIED RICE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PINEAPPLE FRIED RICE,13.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SWEET THAI SAUSAGE FRIED RICE,14.95,,HOUSE OF THAI CUISINE,"UBEREATS, PHILADELPHIA, PA",,,,,,,
