name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
KRISPY SHRIMP MEAL,5.67,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAJUN TENDERS MEAL,6.6,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
DARK CHICKEN,13.21,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAJUN TENDERS,13.21,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
WHITE CHICKEN MEAL,6.73,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
DARK CHICKEN MEAL,5.41,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MIX CHICKEN MEAL,6.07,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAJUN FISH MEAL,5.28,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN SANDWICH MEAL,5.28,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN AND TENDERS FAMILY MEAL,35.7,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
TENDERS FAMILY MEAL,23.79,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MIX CHICKEN,15.86,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
WHITE CHICKEN,17.18,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
BONELESS WINGS,5.28,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
JAMBALAYA,3.16,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MASHED POTATOES AND GRAVY,3.16,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
RED BEANS AND RICE,3.16,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MACARONI AND CHEESE,3.16,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
HONEY BUTTER BISCUITS,1.31,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIES,2.63,,KRISPY KRUNCHY CHICKEN (6865 RISING SUN AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
