name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
"CHOCOLATE SHAKE , STRAWBERRY SHAKE, AND VANILLA SHAKE",4.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHICKEN SANDWICH,4.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
BLT SANDWICH BREAKFAST,3.25,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHEESE AND HAM BREAKFAST,3.25,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESEBURGER LUNCH DELUXE,4.5,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHEESE SANDWICH BREAKFAST,2.25,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHEESE AND BACON BREAKFAST,3.25,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
FLOUNDER SANDWICH,4.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
BACON FRIES WITH CHEESE,4.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIES,2.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE FRIES,3.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
HAMBURGER LUNCH DELUXE,4.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
HOT SAUSAGE LUNCH,3.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
HOT DOG JUMBO,2.0,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
FRENCH FRIES LUNCH,2.5,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE FRIES LUNCH,2.5,,"MCDIXON'S BURGERS, SHAKES & FRIES","UBEREATS, PHILADELPHIA, PA",,,,,,,
