name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN PLATTER,9.75,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SHRIMP CACCIATORE PLATTER,10.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN CACCIATORE PLATTER,10.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WING ZINGS PLATTER,10.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WING DINGS PLATTER,10.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN NOODLE SOUP,3.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN RICE SOUP,3.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN POT PIE SOUP,3.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN DUMPLING SOUP,3.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GARDEN SALAD,6.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAESAR SALAD,6.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHICKEN GARDEN SALAD,8.95,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRILLED CHICKEN CAESAR SALAD,8.95,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEFS SALAD,8.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WHITE MEAT TUNA SALAD,8.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GREEK SALAD,8.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ANTIPASTO SALAD,8.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SMOKED TURKEY SALAD,8.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CRISPY CHICKEN SALAD,8.95,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PLAIN PIZZA,6.75,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
TOMATO PIE PIZZA,5.6,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
WHITE PIZZA,6.75,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BROCCOLI WHITE PIZZA,7.9,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPINACH WHITE PIZZA,7.9,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN AND BROCCOLI WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN FLORENTINE WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CAPRI STYLE WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
VEGGIE LOVERS WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
GREEK STYLE WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN FAJITA WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN PESTO WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MARGARITA WHITE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PHILLY STEAK PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MEGA SPECIAL PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUFFALO CHICKEN PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BBQ CHICKEN PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MEAT LOVERS PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE LOVERS PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAWAIIAN STYLE PIZZA,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
UPSIDE DOWN PIZZA,6.75,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ORIGINAL BUFFALO WINGS (UNBREADED),8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHEESE AND SAUCE STROMBOLI,7.5,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
STEAK AND FRIED ONIONS STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MEATBALL STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SAUSAGE STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
ITALIAN STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
PEPPERONI STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
HAM STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
MUSHROOMS STROMBOLI,8.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
VEGETARIAN STROMBOLI,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
SPECIAL STEAK STROMBOLI,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN FAJITAS STROMBOLI,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN STROMBOLI,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUFFALO CHICKEN STROMBOLI,9.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
REGULAR CALZONE,6.99,,MEGA QUALITY PIZZA AND RESTAURANT,"UBEREATS, PHILADELPHIA, PA",,,,,,,
