name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUILD A BREAKFAST,12.21,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
STRAWBERRY AND CREAM CHEESE CRISPERS,4.8,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUILD YOUR OWN OMELET,14.55,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
TREMENDOUS TWELVE,15.85,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
HEARTY MAN'S COMBO,16.5,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUILD YOUR OWN SAMPLER PICK 3,14.94,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUILD YOUR OWN SAMPLER PICK 4,16.89,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CHICKEN STRIPS,12.99,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MOZZARELLA STICKS,11.04,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRIED PICKLES,9.09,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
ONION RINGS,9.61,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
TRIPLE EGG DARE YA,16.89,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MAGNIFICENT SEVEN,10.39,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
COUNTRY FRIED STEAK AND EGGS,17.28,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
TOP SIRLOIN STEAK AND EGGS,18.58,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CORNED BEEF HASH & EGGS,13.51,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
COUNTRY SAUSAGE BISCUIT BREAKFAST,13.77,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
SOUTHERN FRIED CHICKEN BISCUIT BREAKFAST,14.68,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
THE EVERYTHING OMELET,15.59,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
GRANNY'S COUNTRY OMELET™,15.07,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CLASSIC EGGS BENEDICT,14.94,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
CALIFORNIA AVOCADO BENEDICT,15.98,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
SCRATCH MADE BELGIAN WAFFLE PLATTER,13.25,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
SCRATCH MADE BELGIAN WAFFLE A LA CARTE,10.91,,PERKINS RESTAURANT & BAKERY (GRANT AVE),"UBEREATS, PHILADELPHIA, PA",,,,,,,
