name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
WHEATGRASS GREEN SMOOTHIE,8.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
PASSION FRUIT GREEN TEA,3.25,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
COCONUT SMOOTHIE,6.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
MANGO SMOOTHIE,6.25,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
FRESH PASSION FRUIT TEA,6.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
WHEATGRASS JUICE,5.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(A) VITAMIN 123,7.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(B) SWEET SUMMER,7.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(C) PERFECT MATCH,7.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(D) DAILY CLEANSE,7.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(G) JUST BEET IT,8.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(H) SUPER GREEN JUICE,8.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(I) GREEN ENERGY JUICE,10.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(J) DEAR PEAR,9.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(L) GINGER FUN,9.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
VITALITY SHOT,5.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(K) WHEATGRASS GREEN SMOOTHIE,10.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(E) MR.GREEN SMOOTHIE,8.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(F) SUMMER DREAM SMOOTHIE,8.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(M) FRUITY DRAGON FRUIT SMOOTHIE,10.75,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(N) MEGA C+ SMOOTHIE,9.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(P) AVOCADO GREEN SMOOTHIE,9.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
(R) PROTEIN MAX SMOOTHIE,10.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
BUBBLE MILK BLACK TEA,5.75,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
TBAAR MILK GREEN TEA,5.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
HONEYDEW MILK TEA,5.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
TARO MILK TEA,5.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
COCONUT MILK TEA,5.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
VANILLA MILK TEA,5.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
PANDA GREEN MILK TEA,6.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
THAI ICED TEA,5.5,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
ICE MATCHA LATTE,5.75,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
RED BEAN AND HERBAL JELLY B.M.T,6.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
HERBAL JELLY AND ALOE G.M.T,6.0,,TBAAR - 2842 SAINT VINCENT ST (PA),"UBEREATS, PHILADELPHIA, PA",,,,,,,
