name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BURRITO BOWL,9.05,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
BURRITO,9.05,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
MEXICAN COCA-COLA,3.5,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
QUESADILLA,9.7,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & GUACAMOLE,4.6,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
SALAD,9.05,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
THREE TACOS,9.05,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
TACOS,3.45,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
KID'S BUILD YOUR OWN,5.8,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
KID'S QUESADILLA,4.6,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
WHOLE30® SALAD BOWL,11.9,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
KETO SALAD BOWL,11.9,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
HIGH PROTEIN BOWL,13.8,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
PALEO SALAD BOWL,11.9,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
VEGAN BOWL,9.05,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
VEGETARIAN BOWL,9.05,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS,1.75,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & QUESO BLANCO,4.6,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE CHIPS & LARGE GUACAMOLE,7.5,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
SIDE OF GUACAMOLE,2.85,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE CHIPS & LARGE QUESO BLANCO,7.5,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
QUESO BLANCO,2.85,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & FRESH TOMATO SALSA,2.45,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & TOMATILLO-RED CHILI SALSA,2.45,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & TOMATILLO-GREEN CHILI SALSA,2.45,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
CHIPS & ROASTED CHILI-CORN SALSA,2.45,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
TORTILLA ON THE SIDE,0.3,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
BLACKBERRY IZZE,3.35,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
GRAPEFRUIT IZZE,3.35,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
BOTTLED WATER,2.85,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
PRESSED APPLE JUICE,3.35,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
PINEAPPLE ORANGE BANANA JUICE,3.35,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
PEACH ORANGE JUICE,3.35,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
SAN PELLEGRINO SPARKLING,3.35,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
TRACTOR ORGANIC BLACK TEA,3.75,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
TRACTOR ORGANIC LEMONADE,3.75,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
MEXICAN SPRITE,3.5,,CHIPOTLE MEXICAN GRILL (3125 E INDIAN SCHOOL RD STE 101),"UBEREATS, PHOENIX, AZ",,,,,,,
