name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BACON BURRITO,7.17,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
STEAK AND EGG BURRITO,8.65,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
TWO CHICKEN TACOS,10.11,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
FOUR ROLLED TACO WITH GUACAMOLE,10.58,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHILIE RELLENO BURRITO,7.05,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHORIZO BURRITO,7.05,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
MACHACA BURRITO,8.65,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
STEAK RANCHERO,11.14,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
SPANISH OMELETTE,9.18,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHORIZO PLATE,10.05,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
MACHACA PLATE,11.14,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
BEAN BURRITO,4.28,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN BURRITO,6.25,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN CHILIE BURRITO,7.05,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
SHRIMP BURRITO,8.89,,FILIBERTO'S MEXICAN FOOD - 16TH ST/MCDOWELL,"UBEREATS, PHOENIX, AZ",,,,,,,
