name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FRENCH FRIES,5.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
PHILLY CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
MUSHROOM CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
BBQ CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
MUSHROOM CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET PEPPER CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPERONI CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
PLAIN STEAK,10.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
BACON RANCH CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
BBQ CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
MEXICANO CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
MAC AND CHEESESTEAK,13.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
BUFFALO CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
MORNING CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
CUBANO CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
CAPRESE CHEESESTEAK,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
BUFFALO CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
SWEET PEPPER CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
PHILLY CHICKEN CHEESESTEAK,12.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
MEATBALL SANDWICH,12.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
TUNA HOAGIE,10.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
HAM AND CHEESE HOAGIE,10.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
TURKEY HOAGIE,10.95,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
ONION RINGS,6.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
BACON CHEESE FRIES,7.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
PIZZA FRIES,8.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
WATER (BOTTLE),2.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
COKE (CAN),2.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE (CAN),2.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE (CAN),2.0,,JUICY'S CHEESESTEAKS,"UBEREATS, PHOENIX, AZ",,,,,,,
