name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TLAYUDA COMBINADA,15.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
ENCHILADA TRIO,15.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
ENMOLADAS DE POLLO,12.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
TLAYUDA DE TASAJO,13.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
MOLE NEGRO,14.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
TORTAS,9.5,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
BURRITOS,7.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
QUESADILLAS,7.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
TACOS,2.25,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
TLAYUDA VEGETARIANA,11.5,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
TLAYUDA DE MOLE,13.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
TLAYUDA DE CECINA,13.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
ENCHILADAS ROJAS,12.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
COLORADITO,14.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
MOLE DE FIESTA,20.0,,LAS 15 SALSAS,"UBEREATS, PHOENIX, AZ",,,,,,,
