name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
MEXICAN COKE (12 OZ BOTTLE),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
COKE CLASSIC (20 OZ BOTTLE),3.59,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE (20 OZ BOTTLE),3.59,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE (20 OZ BOTTLE),3.59,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
BARQ'S ROOTBEER (20 OZ BOTTLE),3.59,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
BOYLANS BLACK CHERRY (12 OZ BOTTLE),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
BOYLANS CREME SODA (12 OZ BOTTLE),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
SAN PELLEGRINO (16.9 OZ BOTTLE),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
SAN PELLEGRINO BLOOD ORANGE (11.5 OZ CAN),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
SAN PELLEGRINO LIMONATA (11.5 OZ CAN),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
APPLE JUICE (12 OZ BOTTLE),2.99,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
MILK (8 OZ CARTON),2.39,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE MILK (8 OZ CARTON),2.39,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
WATER (16.9 OZ BOTTLE),1.79,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESY GARLIC BREAD - RED SAUCE (3 TBSP),7.19,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESY GARLIC BREAD - PESTO (3 TBSP),7.19,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESY GARLIC BREAD - RANCH (3 TBSP),7.19,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESY GARLIC BREAD - SRI-RANCHA (3 TBSP),7.19,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
NO NAME CAKE,2.79,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
RED PEPPER FLAKES PACKET,0.0,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
PARMESAN CHEESE PACKET,0.0,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
SALT PACKET,0.0,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
PEPPER PACKET,0.0,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
WRAPPED FORK & KNIFE PACK,0.0,,MOD PIZZA (44TH & INDIAN),"UBEREATS, PHOENIX, AZ",,,,,,,
