name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
RBG FRENCH DIP,14.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
SONORAN FISH TACOS,15.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN,17.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
TERIYAKI BEEF RICE BOWL (GF),14.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
FIRE HOUSE BURGER,14.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
STREET TACOS,9.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUSAGE AND TOMATO FLATBREAD,11.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
MARGHERITA FLATBREAD,11.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
BBQ CHICKEN FLATBREAD,11.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
TOMATO BISQUE,6.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
OLD FASHIONED VEGETABLE,6.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE SALAD,6.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
CAESAR SALAD,7.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
SPRING APPLE SALAD,10.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
COBB SALAD,14.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
PASTA DELIGHT,8.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
ANGEL HAIR PASTA WITH MARINARA,7.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
NEW YORK STEAK,20.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
MEATLOAF,11.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
SALMON,24.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN RICE BOWL (GF),12.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED CHEESE WITH TOMATO BISQUE,9.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
BLACK BEAN PATTY BURGER,9.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
BLT,11.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
VEGETABLE WRAP,10.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
CLUB WRAP,11.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHEESEBURGER,12.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
GRILLED CHICKEN,12.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
CHICKEN PHILLY,14.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
SEASONAL VEGETABLES,4.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
GREEN BEANS,4.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
SAUTE MUSHROOMS AND ONIONS,4.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
GARLIC MASHED POTATOES,5.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
HOUSE FRIES,4.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
LOADED RANCH FRIES,6.0,,RBG BAR & GRILL,"UBEREATS, PHOENIX, AZ",,,,,,,
