name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
RED VELVET,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
CARAMEL WALNUT,6.5,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
CARROT,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE ICED,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
STRAWBERRY CRUNCH,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
TRIPLE CHOCOLATE,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
LEMON,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
PURE VANILLA,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
COOKIES & CREAM,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
SNICKERDOODLE,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
PEACH COBBLER,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
S’MORE,5.0,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE CHIP,3.5,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
M & M,3.5,,SUGAR SWEETS CUPCAKES,"UBEREATS, PHOENIX, AZ",,,,,,,
