name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SPICY TUNA ROLL,10.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY EDAMAME,3.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
CALIFORNIA ROLL,9.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
COKE (BOTTLE),2.5,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
PHILADELPHIA ROLL,11.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
THE VEGAN $NOB,20.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
THE $NOB,24.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
THE $UPREME $NOB,30.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
SALMON AVOCADO ROLL,10.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
TUNA ROLL,10.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPICY YELLOWTAIL ROLL,10.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
UNAGI AND AVOCADO ROLL,11.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
AVOCADO CUCUMBER ROLL,7.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
EDAMAME,3.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
SEAWEED SALAD,3.5,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
WATER (BOTTLE),2.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE (BOTTLE),2.5,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
LEMONADE,2.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
ICED TEA,2.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
ICED GREEN TEA,3.0,,SUSHI SNOB (3446 WEST CAMELBACK ROAD),"UBEREATS, PHOENIX, AZ",,,,,,,
