name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
14 LARGE CHEESE PIZZA,12.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
TRADITIONAL WING,9.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
CHEESE STICKS,8.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
12 MEDIUM CHEESE PIZZA,10.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
BONE OUT WING,9.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
BREADSTICKS,6.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
GARLIC BREAD,5.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
GARLIC BREAD WITH CHEESE,7.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
DIPS,0.5,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
CREAMY CHICKEN ALFREDO PASTA FULL PAN,6.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
MEATY MARINARA PASTA FULL PAN,6.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
CREAMY CHICKEN ALFREDO PASTA FAMILY SIZE,12.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
MEATY MARINARA PASTA FAMILY SIZE,12.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
HALF-PAN CREAMY CHEESE ALFREDO,10.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
HALF-PAN MEATY MARINARA,10.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
SUPREME PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
MEAT LOVERS PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
PEPPERONI LOVERS PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
VEGGIE LOVERS PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
ULTIMATE CHEESE LOVERS PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
BUFFALO CHICKEN PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
CHICKEN BACON PARMESAN PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
HAWAIIAN CHICKEN PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
BACKYARD BBQ CHICKEN PIZZA,13.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
6 PERSONAL PAN CHEESE PIZZA,4.49,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
DRINKS,2.5,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
BOTTLED WATER (16.9 OZ),2.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
CINNAMON STICKS,6.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
HOT CINNAMON APPLE PIES,4.99,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
TRIPLE CHOCOLATE BROWNIE,7.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
THE ULTIMATE CHOCOLATE CHIP COOKIE,7.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
CINNABON MINI ROLLS-10 ROLLS,6.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
STRAIGHT-CUT FRIES,4.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
WINGSTREET APPLE PIES,6.0,,PIZZA HUT (6825 TILTON RD),"UBEREATS, NJ",,,,,,,
