name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BB WINGS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SECRET SPICY BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HONEY GARLIC WINGS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GANGNAM STYLE WINGS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HALF AND HALF WHOLE CHICKEN,26.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GOLDEN ORIGINAL WHOLE CHICKEN,15.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SECRET SPICY CHICKEN,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HOT SPICY CHICKEN,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GOLDEN ORIGINAL BONELESS,15.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HOT SPICY BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HONEY GARLIC BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GANGJEONG BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
CHEESLING BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SOY GARLIC BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GALBI BONELESS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GOLDEN OLIVE DRUMSTICKS,15.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SECRET SPICY DRUMSTICKS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HOT SPICY DRUMSTICKS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HALF AND HALF BONELESS,26.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HALF AND HALF DRUMSTICKS,25.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SOY GARLIC WINGS,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
WINGS OF FIRE,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
DEEP FRIED DUMPLINGS,9.9,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
CALAMARI,8.9,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SWEET POTATO FRIES,6.9,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
CHEESE STICKS,5.9,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
FRENCH FRIES,4.9,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
CORN SALAD,3.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
COLESLAW,3.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
STEAMED RICE,1.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HONEY GARLIC BONELESS FRIED CHICKEN,14.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SECRET SPICY CHICKEN BONELESS FRIED CHICKEN,14.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
ORIGINAL GOLDEN OLIVE,13.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
ORIGINAL GOLDEN OLIVE BONELESS FRIED CHICKEN,13.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HOT SPICY BONELESS FRIED CHICKEN,14.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
GANG-JEONG BONELESS FRIED CHICKEN,14.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
CHEESLING BONELESS FRIED CHICKEN,14.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SOY GARLIC BONELESS FRIED CHICKEN,14.45,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SPICY GALBI,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
HALF AND HALF WHOLE,25.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
ONION RING,6.0,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
SURPFRIED CHICKEN,15.5,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
MALA,16.95,,"BB.Q CHICKEN - PLANO, TX","UBEREATS, PLANO, TX",,,,,,,
