name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FAMOUS BOWL,5.99,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
LARGE POPCORN NUGGETS,5.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
SPICY CLASSIC CHICKEN SANDWICH,4.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
2 BISCUITS,1.91,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
POPCORN NUGGETS COMBO,8.15,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
10 PIECE FEAST,36.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
16 PC. FAMILY BUCKET MEAL,46.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
16 PC. CHICKEN,32.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
2 PC. DRUM & THIGH COMBO,6.59,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
2 PC. BREAST & WING COMBO,8.15,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
4 PC. CHICKEN COMBO,11.15,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
CLASSIC CHICKEN SANDWICH BOX,10.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
SPICY CHICKEN SANDWICH BOX,10.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
1 PC. BREAST FILL UP,6.59,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
FAMOUS BOWL FILL UP,6.59,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
POT PIE FILL UP,6.59,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
CLASSIC CHICKEN SANDWICH,4.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
CLASSIC CHICKEN SANDWICH COMBO,8.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
SPICY CHICKEN SANDWICH COMBO,8.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
A LA CARTE BREAST,3.83,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
A LA CARTE DRUM,3.35,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
A LA CARTE THIGH,3.35,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
A LA CARTE WING,2.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
12 CHOCOLATE CHIP COOKIES,5.27,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
MEDIUM BEVERAGE,2.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
LARGE BEVERAGE,2.75,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
1/2 GALLON BEVERAGE BUCKET,4.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
HONEY SAUCE,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
KETCHUP,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
HOT SAUCE,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
HONEY BBQ SAUCE,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
CLASSIC RANCH,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
HONEY MUSTARD SAUCE,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
KFC SAUCE,0.0,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
BEEFY 5 LAYER,2.75,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
QUESADILLA,3.83,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
CHEESY GORDITA CRUNCH,3.83,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
DORITOS LOCOS TACOS,2.39,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
NACHOS BELLGRANDE,4.79,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
BURRITO SUPREME COMBO,8.03,,KFC / TACO BELL (401 COIT ROAD),"UBEREATS, PLANO, TX",,,,,,,
