name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHOOSE 2,8.99,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
KING CLUB,10.99,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
SOUTHWEST CHICKEN & AVOCADO SALAD,10.29,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
CHIPOTLE CHICKEN & BACON SPUD,9.49,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
MCALISTER'S CLUB,8.99,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
PECANBERRY SALAD,10.69,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
CINNABON MINI COOKIE SANDWICHES – 2CT,3.49,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
TROPICAL TEA,3.64,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
GRILLED CHICKEN CLUB,9.14,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
ORANGE CRANBERRY CLUB,8.99,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
BLACK ANGUS CLUB,9.79,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
MCALISTER'S CLUB WRAP,8.99,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
FRENCH DIP,9.99,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
THE NEW YORKER,10.79,,"MCALISTER'S DELI - 536 - PLANO EAST, TX (1346)","UBEREATS, PLANO, TX",,,,,,,
