name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
THE CLASSIC,7.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
UNAGI-LICIOUS,9.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
10 WINGS,9.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
FIRECRACKER SHRIMP ROLLS,3.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
THAI TEA(CANNED),2.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
THE CHICK,6.99,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
THE CHEEZY BACONATOR,7.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
GENERAL TSENG,8.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
NIGHT MARKET XP,8.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
THE CATCH,8.99,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
CURRIFY,7.79,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
TASTY TAILS,8.99,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
THE GREENS,7.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
GIMCHI MAS,7.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
PHO,8.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
MIX AND MATCH COMBO,7.99,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
CHICKEN SALAD,5.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
SHRIMP SALAD,6.99,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
3 WINGS,3.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
5 WINGS,5.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
15 WINGS,14.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
20 WINGS,19.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
SIZZLE(SRIRACHA BASE),0.0,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
OH HONEY!(HONEY GARLIC BASE),0.0,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
COMFORT(UNAMI BASE),0.0,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
SALT & PEPPER,0.0,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
NAKED,0.0,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
BATTERED,0.0,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
SWEET POTATO FRIES,3.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
REGULAR FRIES,3.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
HOUSE SALAD,3.29,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
20OZ SODA,1.99,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
COCONUT JUICE,1.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
RAMUNE SODA DRINK,2.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
SOY MILK,1.49,,SIZZLEIT,"UBEREATS, PLANO, TX",,,,,,,
