name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUILD YOUR OWN PIZZA,11.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
ORIGINAL SUPREME,17.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE BEE'S KNEES PIZZA,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE ALL-AMERICAN PIZZA,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
LOCAL GOAT AND FIG,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
CLASSIC HUMMUS,12.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
MA'S HOMEMADE MEATBALLS,12.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
STUFFED GOAT CHEESE MUSHROOMS,12.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
VINNIE'S CHEESE BREAD,8.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
KILLER TX SAUSAGE QUESO,8.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
WARM TAVERNA PRETZEL,6.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
CHEF'S TOMATO BASIL SOUP,5.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
TX BUFFALO SHRIMP,10.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
SWEET CHILI BAKED WINGS,12.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE RUSTIC APPLE,10.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
BABY 'BERG WEDGE,9.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE STAG,6.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
TR CAESAR SALAD,6.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE FARMHOUSE,6.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE NUTTY GRAPE,10.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
PATTY MELT WITH POTATO CHIPS,11.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
TX LASAGNA,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
BUCATINI POMODORO,11.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
CADILLAC MAC AND CHEESE PASTA,13.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
ROASTED CHICKEN CAMPANELLE,16.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
SMOKEY PIE PIZZA,17.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE CLASSIC ROSSA,16.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
QUEEN MARGHERITA,15.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
TUSCAN TRIP,15.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE PINK PIGGY,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
CHICKEN BACON BOOM BOOM,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
BOSS HOG,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
PEPPERONI,12.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
BREAD PUDDING,7.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
CHOCOLATE STOUT CAKE,7.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
WARM CHOCOLATE CHIP COOKIE,3.5,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
FRITOS,3.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
RANCH,1.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
MARINARA,1.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
GARLIC BUTTER,1.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
PEPPERONCINI,1.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
THE BEE'S KNEES PIZZA AND CHOICE OF SMALL PLATES & SHARES,18.0,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
PAIGE'S PASTA,6.95,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
EVERLY'S ROASTED CHICKEN,6.95,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
RYAN'S PIZZA,6.95,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
ASHER'S GRILLED CHEESE,6.95,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
BROOKIE'S MAC AND CHEESE,6.95,,TAVERNA ROSSA,"UBEREATS, PLANO, TX",,,,,,,
