name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
TIGER SUGAR,4.75,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MARBLE COFFEE,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
OKINAWA MILK TEA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
GARLIC BUTTER PORK JERKY,10.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT TEA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MILK TEA,4.25,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MINT MILK TEA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MATCHA MILK TEA,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
GREEN MILK TEA,4.25,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
BLACK TEA,3.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
GREEN TEA,3.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
TOCO CHOCOLATE,4.3,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
TOCO MATCHA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
DALGONA COFFEE,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
WINTER MELON TEA (SAM BI DAO),5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
VIETNAMESE COFFEE,4.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
HONEY KUMQUAT TEA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MANGO TEA,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MULBERRY TEA,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
BLUEBERRY GREEN TEA,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
PARADISE TEA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
PEACH LEMONGRASS TEA,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY TEA,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT YAKULT,4.8,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
MANGO YAKULT,4.8,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
GUAVA YAKULT,4.8,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
LEMON LEAF CHICKEN JERKY,10.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
PANDAN WAFFLE,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
GARLIC CHICKEN JERKY,10.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
HONG KONG WAFFLE,4.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
FRESH MILK,3.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY MILK,4.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
TARO MILK,4.5,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
BAMBOO STRAW SET,5.0,,TOCOTOCO,"UBEREATS, PLANO, TX",,,,,,,
