name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
VITALITY BOWL,12.06,399.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
NUTTY BOWL,12.64,560.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
TROPICAL BOWL,13.21,450.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
PB & CHIA JAM TOAST,6.88,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
KIDS PB&J,6.88,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
SUPERGREEN GODESS SALAD,14.94,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
MIGHTY MED SALAD,14.94,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
CHIMICHURRI STEAK AND POTATO BOWL,14.94,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
GREEN GLOW BOWL,14.94,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
POWER PESTO CHICKEN BOWL,14.94,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
MORNING GLORY WRAP,9.76,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
CHIMICHURRI STEAK WRAP,10.91,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
VITALITY WRAP,9.76,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
SUPERSEED AVOCADO TOAST,8.03,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
NUTTY BOWL 5 PACKAGE,57.5,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
VITALITY BOWL 5 PACKAGE,57.5,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
SUPERFOOD BOWL,15.51,370.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
DRAGON BOWL,14.36,350.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
WARRIOR BOWL,14.36,500.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
GREEN BOWL,14.36,410.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
ACAI ELIXIR,8.04,190.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE DRAGON,9.19,210.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
TROPICAL PARADISE,8.04,250.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE TEMPTATION,8.04,270.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
GO GREEN,9.19,240.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
MATCHA MADNESS,9.19,340.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
WHEY GREEN,9.19,240.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
GREEN ME UP,7.46,107.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
C ME UP,7.46,123.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE INVIGORATOR,7.46,168.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE REHYDRATOR,7.46,,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE VITALITY,7.46,140.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE DETOXIFIER,7.46,70.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
THE INTENSIFIER,7.46,104.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
LEMON GINGER SHOT,3.44,31.0,VITALITY BOWLS (2100 NORTH DALLAS PARKWAYSUITE 132),"UBEREATS, PLANO, TX",,,,,,,
