name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
POPCORN CHICKEN,7.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
POPCORN CHICKEN BENTO,10.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY SLUSH,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TAIWANESE BBQ SAUSAGES (2),7.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
BLUE GALAXY,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
VIVI SIGNATURE FRUIT TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT QQ,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
3Q MILK TEA,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
COFFEE JELLY BUBBLE MILK TEA,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
DRAGON FRUIT CREAM FLOAT,7.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY CREAM FLOAT,7.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TARO CREME BRULEE,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
OREO CREME BRULEE,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
FLORA IMMUNE TEA (LIMITED EDITION),5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
3Q MILK TEA - HOT,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TARO CREME BRULEE - HOT,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
OREO CREME BRULEE - HOT,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
FLORA IMMUNE TEA (LIMITED EDITION) - HOT,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
VIVI BUBBLE MILK TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
VIVI MILK TEA,4.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
HONEYDEW MILK TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
THAI MILK TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TARO MILK TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
COCONUT MILK TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TIRAMISU MILK TEA,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JAPANESE MATCHA MILK TEA,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
RED BEAN MATCHA,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
VIVI BUBBLE MILK TEA - HOT,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
VIVI MILK TEA - HOT,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
HONEYDEW MILK TEA - HOT,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
THAI MILK TEA - HOT,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TARO MILK TEA - HOT,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
COCONUT MILK TEA - HOT,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TIRAMISU MILK TEA - HOT,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JAPANESE MATCHA MILK TEA - HOT,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
RED BEAN MATCHA - HOT,6.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT TEA,5.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY TEA,5.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
MANGO TEA,5.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
KUMQUAT LEMON TEA,5.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JASMINE HONEY TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
HONEY OOLONG COLD BREW,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PEACH OOLONG COLD BREW,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
BLACK TEA,4.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
GREEN TEA,4.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
GRAPEFRUIT PULP TEA,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
KUMQUAT LEMON TEA - HOT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JASMINE HONEY TEA - HOT,5.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
BLACK TEA - HOT,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
GREEN TEA - HOT,5.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
FRUIT TEA ALOE,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PEACH ALOE FRUIT TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JASMINE LEMON,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT LEMON,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY LEMON,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
LYCHEE JELLY TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
KUMQUAT LEMON JELLY TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
BLUEBERRY JELLY TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY JELLY TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PINEAPPLE MANGO JELLY TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PINEAPPLE GRAPEFRUIT JELLY TEA,6.75,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
EARLY GREY FLOAT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
OOLONG FLOAT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JASMINE FLOAT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
EARLY GREY FLOAT - HOT,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
OOLONG FLOAT - HOT,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
JASMINE FLOAT - HOT,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
GREEN TEA YAKULT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
MANGO YAKULT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
STRAWBERRY YAKULT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT YAKULT,5.5,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
KUMQUAT LEMON SLUSH,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
PASSION FRUIT SLUSH,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
MANGO SLUSH,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
LYCHEE SLUSH,6.0,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TARO SLUSH,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
TIRAMISU SLUSH,6.25,,VIVI BUBBLE TEA (PLANO),"UBEREATS, PLANO, TX",,,,,,,
