name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BANDEJA PAISA,20.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CUBAN SANDWICH,10.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
GUAVA,3.5,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
WHITE RICE,4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHICHARRON MOFONGO,14.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MAMBO NACHOS GRANDE,12.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
QUESADILLAS,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
GRILLED VEGETABLES QUESADILLAS,7.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHICKEN WINGS,10.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
TACOS,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
TOSTONES CON ROPA VIEJA,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
PICADA COLOMBIANA (FRITANGA),22.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
FRIED CALAMARI,10.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MAMBO CEVICHE,24.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
VUELVE A LA VIDA,22.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
AVOCADO SALAD,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CALAMARI SALAD,11.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CAESAR SALAD,8.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MAMBO TROPICAL SALAD,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
14 OZ BONE IN PORK CHOP,28.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
GRILLED CHICKEN BREAST,13.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
NEW YORK STRIP STEAK,25.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
"LOMO SALTADO, PERUVIAN (STIR FRY)",18.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CASAMIENTO,16.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHURRASCO,25.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHICKEN RANCHERO,15.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BISTEC RANCHERO,15.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BISTEC ENCEBOLLADO,15.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
FRIED RED SNAPPER,28.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
ATLANTIC SALMON,18.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SEAFOOD PAELLA,28.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BANDEJA GROUND,18.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHICHARRON TRIFONGO,19.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHICKEN CHICHARRON MOFONGO,14.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
CHICKEN CHICHARRON TRIFONGO,19.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BISTEC ENCEBOLLADO MOFONGO,16.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BISTEC ENCEBOLLADO TRIFONGO,21.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SHRIMP MOFONGO (AJILLO STYLE),20.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SHRIMP TRIFONGO (AJILLO STYLE),25.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SKIRT STEAK MOFONGO (CHURRASCO),29.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SKIRT STEAK TRIFONGO (CHURRASCO),30.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BALEADAS HONDURENAS,7.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
TAMALES MEXICANOS,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MAMBO TEX-MEX FAJITAS,14.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
GOLDEN FLAUTAS,10.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
TOSTADAS DE POLLO,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
PLAIN MOFONGO SIDE,8.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
FRIED CASSAVA (YUCA FRITA),5.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
FRIED GREEN PLANTAIN (TOSTONES),4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
RIPE PLANTAIN (PLATANO MADURO),4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
FRENCH FRIES,3.5,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MASHED POTATOES,4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MEXICAN RICE,4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
BLACK BEANS,4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
RED BEANS,4.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
GRILLED ASPARAGUS,5.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
MIXED VEGETABLES,6.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SAUTEED SPINACH,5.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
STEAMED BROCCOLI,5.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
SHRIMP AJILLO STYLE,12.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
8 OZ ANGUS BEEF BURGER,9.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
COLOMBIAN HAMBURGER,10.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
COLOMBIAN HOT DOG,7.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
PUERTO RICAN SANDWICH (TRIPLETA),10.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
VEGETARIAN PANINI,8.0,,MAMBO CAFÉ,"UBEREATS, PLEASANTVILLE, NJ",,,,,,,
