name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BACON EGG CHEESE BISCUIT MEAL,7.36,770.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
SAUSAGE EGG MCMUFFIN MEAL,7.49,790.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
SAUSAGE EGG CHEESE MCGRIDDLE MEAL,7.86,870.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
BIG BREAKFAST WITH HOTCAKES,8.36,1340.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM ICED COFFEE,3.9,180.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM FRENCH VANILLA LATTE,3.9,290.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MCCAFÉ CINNAMON ROLL,3.24,560.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
HASH BROWNS,2.24,150.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
SAUSAGE EGG BISCUIT MEAL,7.49,850.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MCCHICKEN BISCUIT MEAL,5.69,740.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
EGG MCMUFFIN MEAL,7.49,620.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
BACON EGG CHEESE MCGRIDDLE MEAL,7.49,740.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
CHICKEN MCGRIDDLE MEAL,6.61,710.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
2 SAUSAGE BURRITO MEAL,5.86,920.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
BIG BREAKFAST,5.61,750.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
HOTCAKES AND SAUSAGE,4.99,780.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
HOTCAKES,3.74,590.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM PREMIUM ROAST COFFEE,1.99,0.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM DECAF COFFEE,1.99,0.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM HOT TEA,1.74,0.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM ICED CARAMEL COFFEE,3.9,190.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM ICED HAZELNUT COFFEE,3.9,170.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM ICED FRENCH VANILLA COFFEE,3.9,170.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM ICED SUGAR FREE VANILLA COFFEE,3.9,110.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
MEDIUM PEPPERMINT HOT CHOCOLATE,2.49,440.0,MCDONALD'S,"846 RT 17 N, UBEREATS, RAMSEY, NJ",,,,,,,
