name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BACON CHEESEBURGER,6.95,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
DOUBLE DELUXE BURGER,7.99,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
JUNIOR CHEESEBURGER,6.25,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
JUNGLE BURGER,7.45,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
FRIED MUSHROOMS,6.25,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
WINGS (10),11.95,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
FRIED SHRIMP BASKET,6.75,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
CHICKEN STRIPS,9.5,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
TEXAS TOOTHPICKS,6.95,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
WINGS (6),7.25,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
STUFFED JALAPENOS,5.95,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
FRIED CLAM STRIPS,6.45,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
BACON CHEDDAR FRIES,6.25,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
CHILLI CHEESE FRIES,7.7,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
MOZZARELLA STICKS,6.7,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
CHEESE ON SEASON FRIES,5.7,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
FRITO LAY PIE,5.7,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
SWEET POTATO FRIES,3.85,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
ONION RINGS,3.85,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
SEASONED FRIES,3.75,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
TATER TOTS,3.85,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
BOWL OF CHILI,6.25,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
GRILLED SHRIMP SALAD,8.25,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
BEEF SALAD,7.5,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
GRILLED CHICKEN SALAD,7.85,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
CHEF SALAD,6.95,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
GARDEN SALAD,4.95,,BURGER ISLAND - RICHARDSON,"UBEREATS, RICHARDSON, TX",,,,,,,
