name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
FETTUCCINE ALFREDO,10.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
STRAWBERRY SHORTCAKE,7.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
SPAGHETTI BOLOGNESE,9.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
SEASHELL SEAFOOD,16.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
PORK CHOP,11.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
PORTABELLO MUSHROOM,8.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
ESCARGOT,9.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
MUSSELS,8.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
BRUSCHETTA,7.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
MOZZARELLA CAPRESE,9.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
SMOKED SALMON,9.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
CALAMARI,8.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
FRIED MOZZARELLA,6.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
HAMBURGER,8.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
GRILLED CHICKEN SANDWICH,8.0,,CAPPUCCINO ITALIAN BISTRO,"UBEREATS, RICHARDSON, TX",,,,,,,
