name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SALTY CRISPY CHICKEN,4.99,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
TARO PUDDING MILK TEA,4.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
TARO RED BEAN PEARL MILK TEA,4.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
CALAMARI,5.99,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
BUTTERFLY SHRIMP,4.99,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
CHATIME MILK TEA,3.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
CHATIME ROASTED MILK TEA,3.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
BROWN RICE GREEN MILK TEA,3.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
OOLONG MILK TEA,3.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
JASMINE GREEN MILK TEA,3.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
PEARL MILK TEA,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
RED BEAN PEARL MILK TEA,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
PUDDING MILK TEA,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
CLASSIC HAZELNUT MILK TEA,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
HAZELNUT CHOCOLATE MILK TEA,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
SUPERIOR MILK CHOCOLATE,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
TARO MILK TEA,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
MATCHA RED BEAN MILK TEA,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
EARL GREY MILK TEA,3.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
THAI MILK TEA,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
BLACK TEA MOUSSE,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
TIEGUANYIN TEA MOUSSE,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
OOLONG TEA MOUSSE,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
WINTER MELON MOUSSE,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
CHOCOLATE MOUSSE,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
MATCHA MOUSSE,3.75,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
BROWN RICE GREEN TEA,3.0,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
OOLONG TEA,3.0,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
ROASTED TEA,3.0,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
JASMINE GREEN TEA,3.0,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
BLACK TEA,3.0,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
WINTER MELON DEW,3.0,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
PASSION FRUIT SLUSH,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
STRAWBERRY SLUSH,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
COCOA SMOOTHIE,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
MANGO SMOOTHIE,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
STRAWBERRY YOGURT SMOOTHIE,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
LEMON YOGURT SMOOTHIE,4.25,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
COFFEE SMOOTHIE,4.5,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
MATCHA RED BEAN SMOOTHIE,4.5,,CHATIME & ZENQ,"UBEREATS, RICHARDSON, TX",,,,,,,
