name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
2 MEAT PLATE,16.25,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
BIG YELLOW CUP,2.95,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
PECAN PIE SLICE,2.95,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
3 MEAT PLATE,18.25,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
GIANT BAKER WITH MEAT,11.25,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
2 FOR $24,24.0,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
80TH ANNIVERSARY COMBO MEAL,8.8,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
PULLED PORK ON KING'S HAWAIIAN BREAD,9.0,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
CARAMEL CRUNCH BROWNIE MADE WITH SNICKERS,3.95,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
SLIDER,4.45,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
CLASSIC SANDWICH,7.45,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
WESTERNER SANDWICH,11.25,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
PULLED PORK ON KINGS HAWAIIAN BREAD,9.0,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
PORK RIB PLATE,18.25,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
1 MEAT PLATE,14.5,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
BYB ORIGINAL PARTY PACK,137.5,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
BYB CLASSIC SANDWICH PACK,123.75,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
BYB WINGS AND RIBS PARTY PACK,115.0,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
BYB PULLED PORK PARTY PACK,106.25,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
PICNIC PACK,37.45,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
FAMILY PACK,62.95,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
XL PACK,87.5,,DICKEY'S BARBECUE PIT (TX-0013) 1150 N PLANO RD,"UBEREATS, RICHARDSON, TX",,,,,,,
