name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
KABOB COMBO,13.39,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
STEAK KABOBS,13.89,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
CLASSIC HUMMUS,5.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
HUMMUS TRIO,7.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
TOSSED GREEK,8.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
SMALL KABOB FAMILY MEAL,45.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
LARGE KABOB FAMILY MEAL,49.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
SMALL MED CHICKEN FAMILY MEAL,45.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
LARGE MED CHICKEN FAMILY MEAL,49.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
SMALL ROLLUP FAMILY MEAL,45.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
LARGE ROLLUP FAMILY MEAL,49.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
KABOB FAMILY DINNER,59.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
MEDITERRANEAN CHICKEN FAMILY DINNER,55.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
CHICKEN KABOBS,10.89,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
SALMON KABOBS,13.39,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
SHRIMP KABOBS,11.89,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
SPICY CHICKEN KABOBS,11.49,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
HARISSA BBQ CHICKEN KABOBS,11.49,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
BOTTLE OF ZOËS GREEK DRESSING,4.69,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
AVOCADO LENTIL SALAD,10.19,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
CLASSIC GREEK,8.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
QUINOA SALAD,9.19,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
TRADITIONAL GREEK,8.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
ROASTED CORN AND AVOCADO COBB SALAD,9.99,,ZOE'S KITCHEN (222 CAMPBELL ROAD),"UBEREATS, RICHARDSON, TX",,,,,,,
