name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN AND BISCUITS - 6PC W/DRINK,9.89,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
1/2 LB. CHEESE GRILLBURGER™ COMBO,9.22,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
PRETZEL STICKS WITH ZESTY QUESO,2.96,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
6 PACK CHOCOLATE DILLY BAR,9.34,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
8-PIECE ROTISSERIE BASKET,6.15,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BACON CHEESE GRILLBURGER™ COMBO,6.81,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
FLAMETHROWER GRILLBURGER™ COMBO,7.91,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
ORIGINAL 1/3 LB. DOUBLE WITH CHEESE BURGER,6.59,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
1/4 LB. CHEESE GRILLBURGER™ COMBO,6.26,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHEESEBURGER COMBO,5.93,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HAMBURGER COMBO,5.16,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CRISPY CHICKEN SANDWICH COMBO,8.79,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
GRILLED CHICKEN SANDWICH COMBO,8.79,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHILI CHEESE DOG COMBO,5.82,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CLASSIC DOG COMBO,4.94,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
DILLY BAR,2.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BUSTER BAR,2.63,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
6 PACK BUSTER BAR,13.52,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
DQ SANDWICH,2.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
6 PACK DQ SANDWICH,9.34,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
REESE’S PEANUT BUTTER CUPS DQ TREATZZA PIZZA,13.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HEATH DQ TREATZZA PIZZA,13.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHOCO BROWNIE DQ TREATZZA PIZZA,13.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
M&M’S DQ TREATZZA PIZZA,13.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BOTTLED WATER,1.86,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
MILK,1.86,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BACON CHEESE GRILLBURGER™,4.28,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
FLAMETHROWER GRILLBURGER™,5.38,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
1/2 LB. CHEESE GRILLBURGER™,5.93,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
1/4 LB. CHEESE GRILLBURGER™,3.95,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHEESEBURGER,3.18,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HAMBURGER,3.29,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CRISPY CHICKEN SANDWICH,5.49,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
GRILLED CHICKEN SANDWICH,5.49,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHILI CHEESE DOG,2.96,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CLASSIC DOG,2.19,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN AND BISCUITS - 6PC,8.79,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN AND BISCUITS - 4PC W/DRINK,7.69,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN AND BISCUITS - 4PC,6.59,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
6-PIECE ROTISSERIE BASKET,5.05,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
8-PIECE ROTISSERIE BASKET W/ DRINK,8.35,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
6-PIECE ROTISSERIE BASKET W/ DRINK,7.25,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN STRIP BASKET - 6PC W/DRINK,9.67,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN STRIP BASKET - 4PC W/DRINK,7.47,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN STRIP BASKET - 6PC,8.46,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN STRIP BASKET - 4PC,6.37,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HONEY BBQ GLAZED CHICKEN STRIP BASKET - 6PC W/DRINK,10.1,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HONEY BBQ GLAZED CHICKEN STRIP BASKET - 4PC W/DRINK,8.24,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HONEY BBQ GLAZED CHICKEN STRIP BASKET - 6PC,9.01,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HONEY BBQ GLAZED CHICKEN STRIP BASKET - 4PC,7.14,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
8-PIECE ROTISSERIE BITES,4.39,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
6-PIECE ROTISSERIE BITES,3.29,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CRISPY CHICKEN STRIPS SALAD BOWL,5.93,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
SIDE SALAD,3.29,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
ROTISSERIE-STYLE CHICKEN BITES SALAD BOWL,5.93,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN STRIPS,4.61,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
HOT DOG,4.94,,DAIRY QUEEN GRILL & CHILL (6070 S LINDBERGH BLVD),"UBEREATS, SAINT LOUIS, MO",,,,,,,
