name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN TIKKA MASALA,12.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
VEGGIE SAMOSA,3.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
GARLIC CHEESE NAAN,3.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
ALOO GOBI,10.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
BUTTER CHICKEN,12.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
ROASTED JUMBO SHRIMP,10.0,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN MALAI KEBAB,8.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN CHILLI (NEPALI STYLE),7.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN PAKORA,6.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
BLACK CHANA (NEPALI STYLE),5.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
VEGGIE PAKORA,3.0,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
LENTILS SOUP,4.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
MANGO CHUTNEY,3.25,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
RAITA,3.0,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
MIXED PICKLE,2.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
PAPADUM (2 PCS),1.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
ROASTED TIGER PRAWN,13.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
TANDOORI CHICKEN,13.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN TIKKA,12.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN SEKUWA,12.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHILLI CHEESE NAAN,3.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHEESE NAAN,3.85,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
KEEMA NAAN,3.75,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
ALOO PARATHA,3.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
ONION KULCHA,3.25,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
PLAIN PARATHA,2.85,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
GARLIC NAAN,2.45,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
ROTI,1.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
PLAIN NAAN,1.9,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
MIXED BIRYANI,14.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP BIRYANI,14.9,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
LAMB BIRYANI,13.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN BIRYANI,12.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
VEGETABLE BIRYANI,10.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SAFFRON RICE,3.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
PEAS PULAO,3.0,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
PLAIN BASMATI RICE,1.95,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP TIKKA MASALA,14.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP KORMA,14.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP VINDALOO,13.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP KARAHI,13.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP CURRY,13.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
FISH COCONUT,13.5,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
FISH CURRY,12.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
FISH VINDALOO,12.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
SHRIMP SAAG,11.99,,HIMALAYAN HUT,"UBEREATS, SAINT LOUIS, MO",,,,,,,
