name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BLACK FOREST HAM FOOTLONG REGULAR SUB,8.39,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
TUNA MELT FOOTLONG MELT,11.29,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
STEAK & CHEESE FOOTLONG REGULAR SUB,10.09,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
ITALIAN B.M.T. FOOTLONG REGULAR SUB,9.18,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
MEATBALL MARINARA FOOTLONG REGULAR SUB,8.18,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CALI FRESH TURKEY 6 INCH REGULAR SUB,8.99,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CALI FRESH TURKEY FOOTLONG REGULAR SUB,13.49,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CALI FRESH TURKEY FOOTLONG PRO,17.29,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CALI FRESH STEAK 6 INCH REGULAR SUB,8.68,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CALI FRESH STEAK FOOTLONG REGULAR SUB,14.69,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CALI FRESH STEAK FOOTLONG PRO,17.59,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
ALL-AMERICAN CLUB™ 6 INCH REGULAR SUB,6.59,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
ALL-AMERICAN CLUB™ FOOTLONG REGULAR SUB,10.29,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
ALL-AMERICAN CLUB™ FOOTLONG PRO,13.89,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
B.L.T. 6 INCH REGULAR SUB,5.99,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
B.L.T. FOOTLONG REGULAR SUB,8.99,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
B.L.T. FOOTLONG PRO,12.99,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BLACK FOREST HAM 6 INCH REGULAR SUB,5.99,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BLACK FOREST HAM FOOTLONG PRO,11.49,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BUFFALO CHICKEN 6 INCH REGULAR SUB,6.59,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BUFFALO CHICKEN FOOTLONG REGULAR SUB,10.0,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
BUFFALO CHICKEN FOOTLONG PRO,13.49,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN & BACON RANCH 6 INCH REGULAR SUB,6.79,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
CHICKEN & BACON RANCH FOOTLONG REGULAR SUB,10.39,,SUBWAY (10754 SUNSET HILLS PLZ),"UBEREATS, SAINT LOUIS, MO",,,,,,,
