name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CUBANO,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
JALAPENO BARBACOA MELT,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
STEAK ARGENTINO,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BILIA CHICKEN CLUB,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BANH MI,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GREEK SALAD,11.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BREAKFAST SANDWICH,10.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BREAKFAST LOX,10.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
AVOCADO TOAST,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
LOX BAGEL,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
B.L.A.T,13.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BAKED GOODS,2.5,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BRUNCH SANDWICH,12.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MONTE CRISTO,12.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CURED SALMON PLATTER,12.0,,BILIA EATERY AND COFFEE,"UBEREATS, SAN ANTONIO, TX",,,,,,,
