name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
PANCAKES (MINI),4.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MICKEY MOUSE PANCAKE,4.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHILD ENCHILADA,4.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHILD QUESADILLA,4.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
NACHOS COMPUESTOS,8.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GORDITA,4.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BURRITO,6.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
JALISCO BURRITO,8.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TORTA,6.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MINI TACOS (4 PCS),6.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TACO SALAD,6.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHEESEBURGER,6.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
DOUBLE CHEESEBURGER,7.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ASADA TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PASTOR TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PICADILLO TACOS,2.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEEF FAJITA TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICKEN FAJITA TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE GUISADA TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BARBACOA TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHICHARRON TACOS,2.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MENUDO SOUP (32 OZ),9.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
POZOLE SOUP (32 OZ),9.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TORTILLA SOUP (24 OZ),8.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CALDO DE RES(32 OZ),9.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CALDO DE POLLO(32 OZ),9.29,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE ASADA PLATE WITH NOPALITOS,10.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FAJITAS PLATE,10.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CARNE GUISADA PLATE,9.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
STEAK RANCHERO PLATE,9.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FAJITAS FLAMEADAS PLATE,11.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TEXAS PLATE,9.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FLAUTAS PLATE (4 PCS),8.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHEESE ENCHILADAS PLATE,6.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PASTOR PLATE,9.49,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENCHILADAS PLATE,8.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENCHILADAS ROJAS PLATE (QUESO FRESCO),6.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MEXICAN PLATE,7.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PORK CHOPS PLATE (2 PCS),9.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BARBACOA PLATE,9.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
GORDITAS PLATE (2 PCS),10.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
QUESADILLAS PLATE (2 PCS),9.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ENCHILADAS VERDES PLATE (CHEESE),7.99,,CHUMA’S MEXICAN RESTAURANT,"UBEREATS, SAN ANTONIO, TX",,,,,,,
