name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
YUCA AL MOJO,4.69,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOJO,0.89,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
YUCA FRITA,4.69,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
AGUACATE,2.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PAPA FRITAS,2.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MADUROS,3.59,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ARROZ CONGRI,2.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ARROZ CON GANDULES,2.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ARROZ BLANCO,2.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRIJOLES,2.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TOSTONES,3.59,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PAPA RELLENA,2.89,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SORULLITOS,3.89,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EMPANADA DE CARNE,2.89,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CONGRAS/SAMPLER,8.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FLAN DE COCO,3.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
FLAN DE LECHE,3.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PUDIN CUBANO,3.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
EMPANADE DE GAUBANO Y QUESO,3.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SOFT DRINKS,2.39,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MALTA INDIA,2.49,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MALTA HATUEY,2.49,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CANNED SODAS,1.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
SANDWICH CUBANA,9.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BISTEC SANDWICH,9.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PERNIL SANDWICH,9.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
BISTEC ENCEBOLLADO,13.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CAMARONES,15.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHULETA ENCEBOLLADA,13.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PECHGA A LA PLANCHA,13.69,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MASITAS DE PUERCO,12.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
PERNIL,11.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
ROPA VIEJA,13.69,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
RABO ENCENDIDO,15.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
TILAPIA EMPANIZADA,14.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHURRASCO CON SALSA CHIMICHURI,16.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHURRASCO CON CAMARONES,17.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOFONGO PLANTAINS,12.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOFONGO YUCCA,13.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
MOFONGO TRIFONGO,15.99,,CONGAS,"UBEREATS, SAN ANTONIO, TX",,,,,,,
