name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
DUCK DOZEN,18.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BUILD YOUR OWN HALF DOZEN,9.7,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
"SAUSAGE, EGG, AND CHEESE",4.75,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BUILD YOUR OWN DOZEN,18.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FLAVORED LATTE,4.85,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
PICNIC ASSORTMENT,18.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
OBX ORIGINALS,18.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RANDOM ASSORTMENT,18.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RANDOM HALF DOZEN ASSORTMENT,9.7,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BUILD YOUR OWN SINGLE,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MAPLE BACON,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEACH BALL,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
PEANUT BUTTER IN PARADISE,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BLUEBERRY PANCAKE,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
THE BOARDWALK,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BACON IN THE SUN,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SUNRISE,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRENCH TOAST,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
S'MORES,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SAND DOLLAR,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
THE FLIP-FLOP,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
THE BEACH,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COCONUT ISLAND BLISS,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BLUEBERRY LEMONADE,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHOCOLATE CARAMEL CRUNCH,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHOCOLATE COVERED STRAWBERRY,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHOCOLATE EXPLOSION,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CINNAMON BUN,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
COOKIES & CREAM,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
MIDNIGHT MADNESS,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
PEANUT BUTTER & JELLY,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
PINA COLADA,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
RASPBERRY FLUFF,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
STRAWBERRY CONFETTI,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
STRAWBERRY SHORTCAKE,2.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
EGG AND CHEESE,4.0,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
"BACON, EGG, AND CHEESE",4.75,,DUCK DONUTS (11703 HUEBNER RD STE 113),"UBEREATS, SAN ANTONIO, TX",,,,,,,
