name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ST. LOUIS RIB-N-MEAT COMBO,21.99,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FEAST FOR 2,49.49,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CORN BREAD MUFFIN,2.19,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRESH STRAWBERRY CHEESECAKE,8.79,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
TEXAS BEEF BRISKET SANDWICH,12.69,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FAMOUS SAMPLER,14.89,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CHEESE CURDS APPETIZER,8.79,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FAMOUS NACHOS,10.99,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DAVE'S SASSY BBQ SALAD,12.69,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
CAESAR SALAD,6.39,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FRESH GARDEN SIDE SALAD,6.39,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
2 MEAT COMBO (DINNER),18.69,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
3 MEAT COMBO (DINNER),21.99,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ALL-AMERICAN BBQ FEAST,82.49,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
FOUNDER'S FEAST,27.49,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
GEORGIA CHOPPED PORK SANDWICH,10.99,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BBQ PULLED CHICKEN SANDWICH,10.99,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DAVE'S FAVORITE BURGER,12.69,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
ULTIMATE BURGER,14.29,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
DEVIL'S SPIT BURGER,14.29,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
SEASONAL CHOCOLATE CAKE,8.29,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIDS' RIB DINNER,8.79,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIDS' GEORGIA CHOPPED PORK SANDWICH,6.59,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIDS' CHICKEN NUGGETS,6.59,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIDS' ROOT BEER FLOAT,2.19,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
KIDS' ICE CREAM SUNDAE,2.19,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
INDIVIDUAL SIDES,3.29,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
BEVERAGES,2.79,,FAMOUS DAVE'S (231 LOOP 410 SW),"UBEREATS, SAN ANTONIO, TX",,,,,,,
